time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
8481.0,-162_0,0.534425532809552,1,0,22,1
8481.0,-1741_0,0.4114258845656518,0,1,7,1
8481.0,-1747_0,0.4572996455927747,2,5,8,1
8481.0,-1994_0,0.5118534482758621,0,0,19,1
8481.0,-873_0,0.3504672897196262,0,0,6,1
8481.0,1606_0,0.5086038823429686,0,1,12,1
8481.0,1758_0,0.4672897196261683,0,0,8,1
8481.0,1939_0,0.5427120596922126,0,3,14,1
8481.0,2158_0,0.5279041892143862,0,0,13,1
8481.0,340_0,0.533347187291813,0,0,9,1
8482.0,-162_0,0.534425532809552,1,0,22,1
8482.0,-1741_0,0.4114258845656518,0,1,7,1
8482.0,-1747_0,0.4572996455927747,2,5,8,1
8482.0,-1994_0,0.5118534482758621,0,0,19,1
8482.0,-873_0,0.3504672897196262,0,0,6,1
8482.0,1606_0,0.5086038823429686,0,1,12,1
8482.0,1758_0,0.4672897196261683,0,0,8,1
8482.0,1939_0,0.5427120596922126,0,3,14,1
8482.0,2158_0,0.5279041892143862,0,0,13,1
8482.0,338_0,0.5411107285215602,0,5,20,1
8482.0,340_0,0.533347187291813,0,0,9,1
8483.0,-162_0,0.534425532809552,1,0,22,1
8483.0,-1741_0,0.4114258845656518,0,1,7,1
8483.0,-1747_0,0.5144621012918715,3,5,9,1
8483.0,-1994_0,0.5118534482758621,0,0,19,1
8483.0,-873_0,0.3504672897196262,0,0,6,1
8483.0,1606_0,0.5086038823429686,0,1,12,1
8483.0,1758_0,0.4672897196261683,0,0,8,1
8483.0,1939_0,0.5400471791485622,0,4,13,1
8483.0,2158_0,0.5279041892143862,0,0,13,1
8483.0,338_0,0.5387931034482759,0,5,20,1
8483.0,340_0,0.533347187291813,0,0,9,1
8484.0,-162_0,0.534425532809552,1,0,22,1
8484.0,-1741_0,0.4114258845656518,0,1,7,1
8484.0,-1747_0,0.5144621012918715,3,5,9,1
8484.0,-1994_0,0.5118534482758621,0,0,19,1
8484.0,-873_0,0.3504672897196262,0,0,6,1
8484.0,1606_0,0.5086038823429686,0,1,12,1
8484.0,1758_0,0.4672897196261683,0,0,8,1
8484.0,1939_0,0.5018957331616004,0,4,13,1
8484.0,2158_0,0.5279041892143862,0,0,13,1
8484.0,338_0,0.5387931034482759,0,5,20,1
8484.0,340_0,0.533347187291813,0,0,9,1
8485.0,-162_0,0.534425532809552,1,0,22,1
8485.0,-1741_0,0.4114258845656518,0,1,7,1
8485.0,-1747_0,0.5144621012918715,3,5,9,1
8485.0,-1994_0,0.5118534482758621,0,0,19,1
8485.0,-873_0,0.3504672897196262,0,0,6,1
8485.0,1606_0,0.5086038823429686,0,1,12,1
8485.0,1758_0,0.4672897196261683,0,0,8,1
8485.0,1777_0,0.5320950031441978,0,5,22,1
8485.0,1939_0,0.5018957331616004,0,4,13,1
8485.0,2158_0,0.5279041892143862,0,0,13,1
8485.0,338_0,0.5354213302555999,0,6,19,1
8485.0,340_0,0.533347187291813,0,0,9,1
8486.0,-162_0,0.534425532809552,1,0,22,1
8486.0,-1741_0,0.4114258845656518,0,1,7,1
8486.0,-1747_0,0.5144621012918715,3,5,9,1
8486.0,-1994_0,0.5118534482758621,0,0,19,1
8486.0,-873_0,0.3504672897196262,0,0,6,1
8486.0,1606_0,0.5086038823429686,0,1,12,1
8486.0,1758_0,0.4672897196261683,0,0,8,1
8486.0,1777_0,0.5320950031441978,0,5,22,1
8486.0,1939_0,0.4903711917969343,0,5,12,1
8486.0,2158_0,0.5279041892143862,0,0,13,1
8486.0,338_0,0.5353591176975371,0,6,19,1
8486.0,340_0,0.533347187291813,0,0,9,1
8487.0,-162_0,0.534425532809552,1,0,22,1
8487.0,-1741_0,0.4114258845656518,0,1,7,1
8487.0,-1747_0,0.5335860700134233,4,5,10,1
8487.0,-1994_0,0.5118534482758621,0,0,19,1
8487.0,-873_0,0.3504672897196262,0,0,6,1
8487.0,1606_0,0.5086038823429686,0,1,12,1
8487.0,1758_0,0.4672897196261683,0,0,8,1
8487.0,1777_0,0.5079088666376433,0,6,21,1
8487.0,1939_0,0.4610794066309881,0,5,12,1
8487.0,2158_0,0.5279041892143862,0,0,13,1
8487.0,338_0,0.5353535072213718,0,6,19,1
8487.0,340_0,0.533347187291813,0,0,9,1
8488.0,-162_0,0.534425532809552,1,0,22,1
8488.0,-1741_0,0.4114258845656518,0,1,7,1
8488.0,-1994_0,0.5118534482758621,0,0,19,1
8488.0,-873_0,0.3504672897196262,0,0,6,1
8488.0,1606_0,0.5086038823429686,0,1,12,1
8488.0,1758_0,0.4672897196261683,0,0,8,1
8488.0,1777_0,0.5079088666376433,0,6,21,1
